Número;Datos - generales;;;;;;;;;;;;;;;;;;;;;;;;
189;5;;;;;;;;;;;;;;;;;;;;;;;;
190;7;;;;;;;;;;;;;;;;;;;;;;;;
191;6;;;;;;;;;;;;;;;;;;;;;;;;
192;7;;;;;;;;;;;;;;;;;;;;;;;;
193;4;;;;;;;;;;;;;;;;;;;;;;;;
194;3;;;;;;;;;;;;;;;;;;;;;;;;
195;5;;;;;;;;;;;;;;;;;;;;;;;;
196;4;;;;;;;;;;;;;;;;;;;;;;;;
197;5;;;;;;;;;;;;;;;;;;;;;;;;
198;7;;;;;;;;;;;;;;;;;;;;;;;;
199;6;;;;;;;;;;;;;;;;;;;;;;;;
200;5;;;;;;;;;;;;;;;;;;;;;;;;
201;5;;;;;;;;;;;;;;;;;;;;;;;;
202;6;;;;;;;;;;;;;;;;;;;;;;;;
203;5;;;;;;;;;;;;;;;;;;;;;;;;
204;5;;;;;;;;;;;;;;;;;;;;;;;;
205;4;;;;;;;;;;;;;;;;;;;;;;;;
206;4;;;;;;;;;;;;;;;;;;;;;;;;
207;4;;;;;;;;;;;;;;;;;;;;;;;;
208;3;;;;;;;;;;;;;;;;;;;;;;;;
209;6;;;;;;;;;;;;;;;;;;;;;;;;
210;5;;;;;;;;;;;;;;;;;;;;;;;;
211;4;;;;;;;;;;;;;;;;;;;;;;;;
212;7;;;;;;;;;;;;;;;;;;;;;;;;
213;5;;;;;;;;;;;;;;;;;;;;;;;;
214;7;;;;;;;;;;;;;;;;;;;;;;;;
215;3;;;;;;;;;;;;;;;;;;;;;;;;
216;5;;;;;;;;;;;;;;;;;;;;;;;;
217;4;;;;;;;;;;;;;;;;;;;;;;;;
218;7;;;;;;;;;;;;;;;;;;;;;;;;
219;3;;;;;;;;;;;;;;;;;;;;;;;;
220;4;;;;;;;;;;;;;;;;;;;;;;;;
221;6;;;;;;;;;;;;;;;;;;;;;;;;
222;3;;;;;;;;;;;;;;;;;;;;;;;;
223;4;;;;;;;;;;;;;;;;;;;;;;;;
224;5;;;;;;;;;;;;;;;;;;;;;;;;
225;6;;;;;;;;;;;;;;;;;;;;;;;;
226;2;;;;;;;;;;;;;;;;;;;;;;;;
227;7;;;;;;;;;;;;;;;;;;;;;;;;
228;3;;;;;;;;;;;;;;;;;;;;;;;;
229;6;;;;;;;;;;;;;;;;;;;;;;;;
230;2;;;;;;;;;;;;;;;;;;;;;;;;
231;4;;;;;;;;;;;;;;;;;;;;;;;;
232;7;;;;;;;;;;;;;;;;;;;;;;;;
233;5;;;;;;;;;;;;;;;;;;;;;;;;
234;5;;;;;;;;;;;;;;;;;;;;;;;;
235;5;;;;;;;;;;;;;;;;;;;;;;;;
236;3;;;;;;;;;;;;;;;;;;;;;;;;
237;6;;;;;;;;;;;;;;;;;;;;;;;;
238;6;;;;;;;;;;;;;;;;;;;;;;;;
239;5;;;;;;;;;;;;;;;;;;;;;;;;
240;4;;;;;;;;;;;;;;;;;;;;;;;;
241;4;;;;;;;;;;;;;;;;;;;;;;;;
242;7;;;;;;;;;;;;;;;;;;;;;;;;
243;4;;;;;;;;;;;;;;;;;;;;;;;;
244;7;;;;;;;;;;;;;;;;;;;;;;;;
245;6;;;;;;;;;;;;;;;;;;;;;;;;
246;5;;;;;;;;;;;;;;;;;;;;;;;;
247;4;;;;;;;;;;;;;;;;;;;;;;;;
248;4;;;;;;;;;;;;;;;;;;;;;;;;
249;3;;;;;;;;;;;;;;;;;;;;;;;;
250;5;;;;;;;;;;;;;;;;;;;;;;;;
251;5;;;;;;;;;;;;;;;;;;;;;;;;
252;4;;;;;;;;;;;;;;;;;;;;;;;;
253;4;;;;;;;;;;;;;;;;;;;;;;;;
254;7;;;;;;;;;;;;;;;;;;;;;;;;
255;4;;;;;;;;;;;;;;;;;;;;;;;;
256;5;;;;;;;;;;;;;;;;;;;;;;;;
257;5;;;;;;;;;;;;;;;;;;;;;;;;
258;4;;;;;;;;;;;;;;;;;;;;;;;;
259;7;;;;;;;;;;;;;;;;;;;;;;;;
260;6;;;;;;;;;;;;;;;;;;;;;;;;
261;9;;;;;;;;;;;;;;;;;;;;;;;;
262;5;;;;;;;;;;;;;;;;;;;;;;;;
263;5;;;;;;;;;;;;;;;;;;;;;;;;
264;5;;;;;;;;;;;;;;;;;;;;;;;;
265;4;;;;;;;;;;;;;;;;;;;;;;;;
266;5;;;;;;;;;;;;;;;;;;;;;;;;
267;5;;;;;;;;;;;;;;;;;;;;;;;;
268;7;;;;;;;;;;;;;;;;;;;;;;;;
269;5;;;;;;;;;;;;;;;;;;;;;;;;
270;4;;;;;;;;;;;;;;;;;;;;;;;;
271;8;;;;;;;;;;;;;;;;;;;;;;;;
272;3;;;;;;;;;;;;;;;;;;;;;;;;
273;4;;;;;;;;;;;;;;;;;;;;;;;;
274;4;;;;;;;;;;;;;;;;;;;;;;;;
275;4;;;;;;;;;;;;;;;;;;;;;;;;
276;8;;;;;;;;;;;;;;;;;;;;;;;;
277;4;;;;;;;;;;;;;;;;;;;;;;;;
278;9;;;;;;;;;;;;;;;;;;;;;;;;
279;7;;;;;;;;;;;;;;;;;;;;;;;;
280;7;;;;;;;;;;;;;;;;;;;;;;;;
281;5;;;;;;;;;;;;;;;;;;;;;;;;
282;5;;;;;;;;;;;;;;;;;;;;;;;;
283;7;;;;;;;;;;;;;;;;;;;;;;;;
284;5;;;;;;;;;;;;;;;;;;;;;;;;
285;4;;;;;;;;;;;;;;;;;;;;;;;;
286;4;;;;;;;;;;;;;;;;;;;;;;;;
287;6;;;;;;;;;;;;;;;;;;;;;;;;
288;7;;;;;;;;;;;;;;;;;;;;;;;;
289;4;;;;;;;;;;;;;;;;;;;;;;;;
290;2;;;;;;;;;;;;;;;;;;;;;;;;
291;5;;;;;;;;;;;;;;;;;;;;;;;;
292;5;;;;;;;;;;;;;;;;;;;;;;;;
293;3;;;;;;;;;;;;;;;;;;;;;;;;
294;6;;;;;;;;;;;;;;;;;;;;;;;;
295;7;;;;;;;;;;;;;;;;;;;;;;;;
296;5;;;;;;;;;;;;;;;;;;;;;;;;
297;4;;;;;;;;;;;;;;;;;;;;;;;;
298;4;;;;;;;;;;;;;;;;;;;;;;;;
299;4;;;;;;;;;;;;;;;;;;;;;;;;
300;7;;;;;;;;;;;;;;;;;;;;;;;;
301;5;;;;;;;;;;;;;;;;;;;;;;;;
302;5;;;;;;;;;;;;;;;;;;;;;;;;
303;5;;;;;;;;;;;;;;;;;;;;;;;;
304;7;;;;;;;;;;;;;;;;;;;;;;;;
305;7;;;;;;;;;;;;;;;;;;;;;;;;
306;4;;;;;;;;;;;;;;;;;;;;;;;;
307;7;;;;;;;;;;;;;;;;;;;;;;;;
308;4;;;;;;;;;;;;;;;;;;;;;;;;
309;6;;;;;;;;;;;;;;;;;;;;;;;;
310;6;;;;;;;;;;;;;;;;;;;;;;;;
311;6;;;;;;;;;;;;;;;;;;;;;;;;
312;5;;;;;;;;;;;;;;;;;;;;;;;;
313;5;;;;;;;;;;;;;;;;;;;;;;;;
314;5;;;;;;;;;;;;;;;;;;;;;;;;
315;6;;;;;;;;;;;;;;;;;;;;;;;;
316;6;;;;;;;;;;;;;;;;;;;;;;;;
317;6;;;;;;;;;;;;;;;;;;;;;;;;
318;6;;;;;;;;;;;;;;;;;;;;;;;;
319;7;;;;;;;;;;;;;;;;;;;;;;;;
320;4;;;;;;;;;;;;;;;;;;;;;;;;
321;5;;;;;;;;;;;;;;;;;;;;;;;;
322;4;;;;;;;;;;;;;;;;;;;;;;;;
323;5;;;;;;;;;;;;;;;;;;;;;;;;
324;6;;;;;;;;;;;;;;;;;;;;;;;;
325;5;;;;;;;;;;;;;;;;;;;;;;;;
326;8;;;;;;;;;;;;;;;;;;;;;;;;
327;7;;;;;;;;;;;;;;;;;;;;;;;;
328;4;;;;;;;;;;;;;;;;;;;;;;;;
329;3;;;;;;;;;;;;;;;;;;;;;;;;
330;6;;;;;;;;;;;;;;;;;;;;;;;;
331;4;;;;;;;;;;;;;;;;;;;;;;;;
332;3;;;;;;;;;;;;;;;;;;;;;;;;
333;6;;;;;;;;;;;;;;;;;;;;;;;;
334;2;;;;;;;;;;;;;;;;;;;;;;;;
335;7;;;;;;;;;;;;;;;;;;;;;;;;
336;5;;;;;;;;;;;;;;;;;;;;;;;;
337;8;;;;;;;;;;;;;;;;;;;;;;;;
338;7;;;;;;;;;;;;;;;;;;;;;;;;
339;6;;;;;;;;;;;;;;;;;;;;;;;;
340;7;;;;;;;;;;;;;;;;;;;;;;;;
341;4;;;;;;;;;;;;;;;;;;;;;;;;
342;5;;;;;;;;;;;;;;;;;;;;;;;;
343;5;;;;;;;;;;;;;;;;;;;;;;;;
344;6;;;;;;;;;;;;;;;;;;;;;;;;
345;4;;;;;;;;;;;;;;;;;;;;;;;;
346;7;;;;;;;;;;;;;;;;;;;;;;;;
347;4;;;;;;;;;;;;;;;;;;;;;;;;
348;6;;;;;;;;;;;;;;;;;;;;;;;;
349;4;;;;;;;;;;;;;;;;;;;;;;;;
350;3;;;;;;;;;;;;;;;;;;;;;;;;
351;4;;;;;;;;;;;;;;;;;;;;;;;;
352;5;;;;;;;;;;;;;;;;;;;;;;;;
353;5;;;;;;;;;;;;;;;;;;;;;;;;
354;4;;;;;;;;;;;;;;;;;;;;;;;;
355;3;;;;;;;;;;;;;;;;;;;;;;;;
356;5;;;;;;;;;;;;;;;;;;;;;;;;
357;6;;;;;;;;;;;;;;;;;;;;;;;;
358;7;;;;;;;;;;;;;;;;;;;;;;;;
